name,description
Shinon 15.6 Inch Intel Celeron N4000,Laptop dengan layar IPS 15.6 inci dan prosesor Intel Celeron N4000. Cocok untuk pelajar dan penggunaan harian ringan. Sudah termasuk Windows 11.
Lenovo 100e Chromebook,"Laptop ringan berbasis Chrome OS, cocok untuk pelajar dan penggunaan online sehari-hari."
Lenovo G480 Celeron B820,"Laptop untuk kebutuhan dasar seperti mengetik, browsing, dan multimedia ringan."
Laptop Gaming Entry-Level,Laptop dengan performa cukup untuk gaming ringan dan penggunaan sehari-hari.
Lenovo Core i3/i5/i7,Laptop Lenovo dengan berbagai pilihan prosesor untuk kebutuhan kerja dan multitasking.
Amoli 14 Inch Intel N4000,"Laptop ringan dengan desain menarik, cocok untuk pelajar. Dilengkapi Windows 11 dan bonus."
Laptop 14.1 Inch RAM Besar,Laptop modern dengan RAM hingga 16GB dan storage besar. Cocok untuk multitasking dan kerja harian.
Lenovo Core i5 Used,Laptop bekas dengan performa Intel Core i5 yang masih andal untuk pekerjaan kantor.
Dell Latitude 5480 Core i7 Gen 6,"Laptop bisnis dengan performa tinggi dan build kokoh. Dilengkapi tas, mouse, dan garansi."
Amoli 2-in-1 Intel N4020 Touchscreen,Laptop convertible dengan layar touchscreen dan desain fleksibel. Cocok untuk belajar dan kerja ringan. Dilengkapi garansi.
Lenovo ThinkPad X240,Laptop bisnis ringkas dengan performa stabil untuk mobilitas tinggi.
Dell Latitude 5280 Core i5 Gen 7,Laptop bisnis dengan performa stabil untuk pekerjaan kantor. Dilengkapi mouse.
ASUS X455L Core i3 14 Inch,Laptop serbaguna untuk penggunaan harian. Dilengkapi tas dan mouse.
HP EliteBook 845 G8 Ryzen 5 Pro 5650U,Laptop bisnis modern dengan performa tinggi dari AMD Ryzen. Cocok untuk profesional. Dilengkapi tas dan mouse.
Lenovo ThinkPad T450 Core i7 Gen 5,Laptop bisnis dengan performa kuat untuk multitasking. Dilengkapi tas dan mouse.
Asus X441NA Celeron N3350,Laptop entry-level untuk kebutuhan dasar seperti browsing dan mengetik.
HP EliteBook 840 G8 Core i5 Gen 11,Laptop bisnis premium dengan performa tinggi dan desain elegan. Cocok untuk profesional.
Lenovo ThinkPad T14 Gen 1 Core i7 Touchscreen,Laptop modern dengan performa tinggi dan layar touchscreen. Cocok untuk kerja berat.
ASUS X441 Core i3 14 Inch,Laptop serbaguna untuk penggunaan sehari-hari. Dilengkapi tas dan mouse.
Lenovo 100e Chromebook,Laptop ringan berbasis Chrome OS untuk pelajar dan penggunaan online.
Lenovo ThinkPad Yoga 11e Touchscreen,"Laptop convertible dengan layar touchscreen, cocok untuk belajar dan presentasi."
Acer Aspire E5-411,Laptop sederhana untuk kebutuhan dasar dengan kondisi baik.
Lenovo ThinkPad Yoga 11e Core i5 Gen 8,Laptop fleksibel dengan layar touchscreen dan performa cukup untuk multitasking ringan.
Lenovo ThinkPad T490s Core i7 Gen 8 Touchscreen,Laptop bisnis premium dengan desain slim dan performa tinggi.
Asus X540Y AMD E1-7010,Laptop entry-level untuk penggunaan ringan seperti browsing dan multimedia.
Lenovo ThinkPad T470s Core i5 Gen 6,Laptop bisnis tipis dengan performa stabil untuk pekerjaan kantor.
Lenovo IdeaPad 120S Celeron N3350,Laptop ringan dan tipis untuk pelajar dan penggunaan harian.
Dell Latitude 3310 Core i3 Gen 8,Laptop bisnis dengan performa efisien untuk kerja dan belajar.
Panasonic Toughbook CF-31 Core i5 Gen 5 Touchscreen,"Laptop rugged tahan banting dengan layar touchscreen, cocok untuk kerja lapangan."
Dell Latitude 7480 Core i5 Gen 7,Laptop bisnis dengan performa stabil untuk multitasking.
Lenovo ThinkPad T460 Core i5-6300U Full HD,Laptop bisnis dengan layar Full HD dan performa solid untuk pekerjaan profesional.
Amoli Intel N4000 14/15.6 Inch 8GB 256GB,Laptop baru dengan spesifikasi cukup untuk pelajar dan kerja ringan.
Amoli Intel N4000 15.6 Inch Fingerprint,"Laptop tipis dengan fingerprint dan layar IPS, cocok untuk penggunaan sehari-hari."
Lenovo 10 Core i3 i5 i7 128,"Laptop Lenovo dengan pilihan prosesor Intel Core i3/i5/i7, cocok untuk berbagai kebutuhan mulai dari pekerjaan ringan hingga multitasking. Desain simpel dan fungsional untuk penggunaan harian."
Advan 2 in 1 360 Go Touchscreen 14 Inch IPS FHD,"Laptop 2-in-1 dengan layar touchscreen yang dapat diputar 360 derajat. Layar IPS Full HD 14 inci memberikan tampilan jernih. Cocok untuk belajar, presentasi, dan penggunaan fleksibel. Dilengkapi garansi resmi 1 tahun."
Asus X450C Intel Celeron 1007U,"Laptop entry-level dengan prosesor Intel Celeron 1007U 1.5GHz. Cocok untuk kebutuhan dasar seperti mengetik, browsing, dan multimedia ringan."
Dell Latitude 5250 Core i5 Gen 5,Laptop bisnis dengan performa stabil dari Intel Core i5 generasi ke-5. Cocok untuk pekerjaan kantor dan multitasking ringan. Dilengkapi tas dan mouse.
Dell Latitude 5490 Core i7 Gen 8,"Laptop bisnis dengan performa tinggi dari Intel Core i7 generasi ke-8, RAM DDR4 dan storage NVMe. Cocok untuk pekerjaan berat dan multitasking. Dilengkapi garansi, tas, dan mouse."
Lenovo ThinkPad X390 Core i7 Touchscreen,Laptop bisnis premium dengan desain ringkas dan layar touchscreen. Performa tinggi dari Intel Core i7 cocok untuk mobilitas dan produktivitas tinggi.
ASUS X441 14 Inch,"Laptop serbaguna untuk kebutuhan sehari-hari seperti browsing, mengetik, dan hiburan ringan. Dilengkapi tas dan mouse."
Lenovo ThinkPad Yoga X380 Core i7 Touchscreen,"Laptop convertible dengan desain slim dan layar touchscreen. Cocok untuk pekerjaan fleksibel, presentasi, dan multitasking berat."
Acer Aspire V5-471 Core i3-3217U Touchscreen,"Laptop dengan layar touchscreen 13 inci dan prosesor Intel Core i3. Cocok untuk penggunaan harian, belajar, dan multimedia ringan."
Lenovo G405 AMD E1-2100,"Laptop entry-level dengan prosesor AMD E1-2100, cocok untuk kebutuhan dasar seperti browsing dan mengetik."
Advan Soulmate X AMD 3020E 14 Inch FHD,"Laptop dengan desain modern dan layar Full HD 14 inci. Ditenagai AMD 3020E, cocok untuk pelajar dan pekerjaan ringan. Dilengkapi garansi resmi 1 tahun."
ASUS X441 14 Inch,Laptop praktis untuk penggunaan sehari-hari seperti office dan browsing. Dilengkapi bonus tas dan mouse.
Laptop Intel N95 15.6 Inch DDR4,Menggunakan prosesor Intel generasi ke-12 N95 dengan RAM DDR4 dan storage cepat M.2. Cocok untuk gaming ringan dan pekerjaan rumahan. Desain tipis dan ringan.
Asus X43U,"Laptop sederhana untuk kebutuhan dasar seperti mengetik, browsing, dan multimedia ringan."
Asus VivoBook X510U Core i5-7200U Dual VGA,"Laptop dengan performa baik berkat Intel Core i5 dan dual VGA (Intel HD + Nvidia GeForce 940MX). Cocok untuk multitasking, desain ringan, dan gaming ringan."
Dell Latitude 7280 Core i7 Gen 6 NVMe,Laptop bisnis dengan performa stabil dari Intel Core i7 generasi ke-6 dan storage NVMe yang cepat. Cocok untuk multitasking dan pekerjaan kantor. Dilengkapi garansi.
Shinon Amoli Intel J4105 15.6 Inch,"Laptop dengan desain tipis dan ringan, menggunakan Intel J4105. Cocok untuk penggunaan harian, belajar, dan hiburan ringan. Sudah termasuk Windows 11."
Lenovo ThinkPad Yoga X380 Core i5 Gen 8 Touchscreen,"Laptop 2-in-1 dengan layar touchscreen 13.3 inci dan stylus pen. Ditenagai Intel Core i5 generasi ke-8 dengan NVMe, cocok untuk pekerjaan fleksibel dan produktivitas."
Dell Latitude 7420 Core i7 Gen 11,Laptop bisnis premium dengan performa tinggi dari Intel Core i7 generasi ke-11. Cocok untuk pekerjaan profesional dan multitasking berat. Dilengkapi garansi.
Shinon Amoli Intel J4125 15.6 Inch Fingerprint,"Laptop dengan layar 15.6 inci, fingerprint sensor, dan performa cukup untuk penggunaan harian. Cocok untuk pelajar dan pekerjaan ringan. Dilengkapi Windows dan garansi 1 tahun."
Asus Intel Core i3,"Laptop serbaguna dengan prosesor Intel Core i3, cocok untuk kebutuhan sehari-hari seperti office, browsing, dan multimedia. Dilengkapi tas dan mouse."
Asus A470M Intel Celeron N4000,"Laptop entry-level dengan performa cukup untuk kebutuhan dasar seperti mengetik, browsing, dan belajar. Kondisi baik tanpa minus."
Lenovo ThinkPad T410 T412 L512,"Laptop bisnis seri ThinkPad dengan build kokoh, cocok untuk pekerjaan dasar dan penggunaan kantor."
HP Stream 14-ax0XX,"Laptop ringan dengan desain menarik warna biru, menggunakan storage eMMC. Cocok untuk pelajar dan penggunaan online ringan."
Lenovo IdeaPad 300 Celeron N3150,"Laptop entry-level untuk kebutuhan dasar seperti browsing, mengetik, dan multimedia ringan."
Lenovo ThinkPad X250 X240 Core i5,"Laptop bisnis ringkas dengan performa stabil dari Intel Core i5, cocok untuk mobilitas dan pekerjaan kantor."
HP EliteBook 820 G3 Core i5-6300U Touchscreen,"Laptop bisnis dengan layar touchscreen Full HD dan performa stabil, cocok untuk produktivitas dan mobilitas tinggi."
Lenovo ThinkPad X390 Core i7 Gen 8 Touchscreen,Laptop premium dengan desain ringkas dan layar touchscreen. Cocok untuk multitasking dan pekerjaan profesional.
Advan Workplus Heritage Ryzen 5 7535HS 14 Inch IPS,"Laptop modern dengan performa tinggi dari AMD Ryzen 5 7535HS, layar IPS Full HD+, desain eksklusif, ringan, dan cocok untuk kerja maupun hiburan."
Lenovo G400 Intel Celeron 1005M,Laptop sederhana untuk kebutuhan dasar seperti mengetik dan browsing.
Dell Latitude 7300 Core i7 Gen 8 SSD,Laptop bisnis dengan performa tinggi dan storage SSD cepat. Cocok untuk pekerjaan profesional. Dilengkapi Windows 11 Pro dan garansi.
Lenovo ThinkPad X280 Core i5 NVMe Touchscreen,Laptop ringkas dengan performa cepat berkat NVMe dan layar touchscreen. Cocok untuk mobilitas tinggi.
HP EliteBook 830 G7 Core i7 Gen 10,"Laptop bisnis slim dengan performa tinggi, cocok untuk pekerjaan profesional dan multitasking. Dilengkapi garansi."
Lenovo ThinkPad X230i,"Laptop bisnis dengan build kuat, cocok untuk pekerjaan dasar dan penggunaan sehari-hari."
Lenovo Yoga Touchscreen,Laptop fleksibel dengan layar touchscreen yang cocok untuk penggunaan sehari-hari dan presentasi.
Lenovo Ideapad 130 AMD A4-9125 Radeon R3,"Laptop entry-level dengan prosesor AMD A4 dan grafis Radeon R3. Cocok untuk kebutuhan dasar seperti browsing, mengetik, dan multimedia ringan. Layar 14 inci HD."
Acer Aspire Core i3 14 Inch,Laptop serbaguna dengan prosesor Intel Core i3 dan storage besar. Cocok untuk pekerjaan harian dan multitasking ringan. Dilengkapi tas dan mouse.
Asus X451C,"Laptop sederhana untuk kebutuhan dasar seperti mengetik, browsing, dan hiburan ringan."
Lenovo G40-45 AMD E1-6010 Radeon R2,Laptop entry-level dengan prosesor AMD E1 dan grafis Radeon R2. Cocok untuk penggunaan ringan sehari-hari.
Dell Latitude 7480 Core i7 Gen 7 Full HD,Laptop bisnis dengan performa tinggi dan layar Full HD. Cocok untuk multitasking dan pekerjaan profesional. Dilengkapi garansi.
Lenovo ThinkPad T470s Slim,Laptop bisnis tipis dan ringan dengan build kokoh. Cocok untuk mobilitas tinggi dan pekerjaan kantor.
Lenovo ThinkPad T480s Core i7 Gen 8 Touchscreen,Laptop premium dengan layar touchscreen dan performa tinggi. Cocok untuk multitasking dan produktivitas. Dilengkapi garansi 1 tahun.
TECNO Megabook K15S Ryzen 5 7430U,"Laptop modern dengan performa tinggi dari AMD Ryzen 5, baterai besar hingga 17.5 jam, fast charging, dan layar 15.6 inci. Cocok untuk kerja dan hiburan."
HP 14-BS0XX Celeron N3060,Laptop ringan dengan prosesor Intel Celeron. Cocok untuk pelajar dan penggunaan dasar sehari-hari.
Lenovo B490 Core i3-3110M,Laptop dengan performa cukup untuk pekerjaan kantor dan multitasking ringan.
Asus X452C Core i3-3217U 14 Inch,Laptop dengan desain stylish dan performa stabil. Cocok untuk penggunaan harian dan multimedia.
Asus Intel Celeron atau AMD,Laptop entry-level dengan performa dasar untuk kebutuhan sehari-hari. Dilengkapi tas dan mouse.
ASUS 14 Inch Celeron atau AMD 256GB,Laptop praktis dengan storage cukup besar. Cocok untuk belajar dan pekerjaan ringan.
Acer Aspire Lite AL14 Series,Laptop modern dengan desain ringan dan performa efisien untuk kebutuhan harian.
Acer Aspire One D270,Laptop kecil dan ringan (notebook) cocok untuk browsing dan mengetik ringan.
Lenovo ThinkPad E431 Core i5 Touchscreen,Laptop bisnis dengan layar touchscreen dan performa stabil untuk pekerjaan kantor.
Acer Core i3 Windows 10,Laptop serbaguna dengan performa cukup untuk multitasking ringan. Termasuk bonus hadiah.
Tablet Fujitsu Arrows V727,"Perangkat tablet ringan dengan desain portabel, cocok untuk kebutuhan mobile dan pekerjaan ringan."
Sony SVP112A1CL Core i5-4200U Touchscreen,Notebook premium dengan layar touchscreen dan desain tipis. Cocok untuk mobilitas dan produktivitas.
HP EliteBook 6930p,"Laptop bisnis dengan build kokoh, cocok untuk penggunaan dasar dan pekerjaan kantor."
HP EliteBook x360 1040 G7 Core i7 Gen 10,"Laptop premium convertible dengan layar touchscreen, performa tinggi, dan desain slim. Cocok untuk profesional."
Advan Gaming Pixwar Ryzen 7 6800H Touchscreen,"Laptop performa tinggi dengan Ryzen 7, layar touchscreen FHD, cocok untuk gaming ringan dan pekerjaan berat."
HP 240 / 14S Core i5 Gen 6,Laptop serbaguna untuk pekerjaan harian dan multitasking ringan dengan layar 14 inci.
Dell Latitude 7490 Core i7 Gen 8 Touchscreen,Laptop bisnis dengan performa tinggi dan layar touchscreen. Dilengkapi garansi dan tas.
Asus X451MA Celeron N2840,Laptop entry-level untuk kebutuhan dasar seperti browsing dan mengetik.
